,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
0,49,0,79,0,46,-5,30,32,2,0
1,41,1,86,3,42,6,45,45,0,0
2,50,-4,83,0,50,0,33,34,2,0
3,48,1,81,-1,46,0,33,34,2,0
4,45,0,86,0,44,-10,41,42,2,0
5,37,0,79,0,26,-4,42,53,12,0
6,37,0,81,0,38,7,43,42,0,0
7,43,0,81,0,42,-10,37,39,2,0
8,43,0,77,10,42,-34,34,36,2,0
9,44,0,79,-2,44,0,35,35,0,0
10,44,4,82,-7,44,1,38,38,0,0
11,37,0,76,0,34,13,39,42,4,0
12,62,0,109,0,62,23,48,47,0,0
13,49,-4,107,-1,50,0,58,58,0,0
14,41,1,108,0,42,10,66,66,0,0
15,43,0,86,0,44,21,43,42,0,0
16,45,-4,81,1,44,-21,36,37,2,0
17,37,0,104,-2,16,-14,67,89,22,0
18,49,-1,86,0,50,4,37,37,0,0
19,66,0,109,0,68,4,43,42,0,0
20,37,2,97,0,34,-2,60,64,4,0
21,56,0,89,0,56,0,33,32,0,0
22,50,0,110,1,50,0,60,61,2,0
23,37,0,81,5,34,1,43,47,4,0
24,44,1,86,0,44,22,42,42,0,0
25,37,0,78,-4,28,0,41,50,8,0
26,57,0,82,5,56,0,25,25,0,0
27,56,0,95,0,54,1,39,41,2,0
28,37,0,106,0,24,-2,69,83,14,0
29,54,1,82,0,54,0,28,28,0,0
30,37,0,106,0,24,-13,68,82,14,0
31,37,0,76,0,34,19,39,43,4,0
32,37,0,95,0,10,14,58,84,26,0
33,37,0,77,0,38,4,39,38,0,0
34,45,0,106,0,46,14,61,60,0,0
35,48,0,95,0,46,0,47,49,2,0
36,54,-2,78,-1,54,0,24,24,0,0
37,45,0,93,0,44,-4,48,50,2,0
38,53,1,78,0,52,-7,25,26,2,0
39,49,0,88,1,50,19,40,39,0,0
40,49,0,88,0,46,-6,39,41,2,0
41,43,0,81,-5,42,-1,37,39,2,0
42,51,-2,87,0,50,-13,36,38,2,0
43,56,4,91,0,56,6,35,34,0,0
44,37,0,104,-1,16,-5,67,88,22,0
45,37,0,78,0,2,11,42,75,34,0
46,41,0,88,0,42,1,47,47,0,0
47,44,1,108,0,44,3,64,64,0,0
48,37,0,100,0,30,-3,64,69,6,0
49,46,4,87,0,44,-19,41,43,2,0
50,42,-1,87,0,42,0,45,46,2,0
51,37,0,83,0,0,3,46,83,36,0
52,46,0,81,1,46,8,35,35,0,0
53,44,2,88,0,44,12,44,44,0,0
54,41,3,76,0,42,13,35,35,0,0
55,37,0,81,3,34,1,43,47,4,0
56,37,0,82,-3,8,0,45,74,30,0
57,44,0,86,-1,44,8,42,42,0,0
58,37,0,80,0,10,29,43,70,26,0
59,44,3,77,0,44,23,33,33,0,0
60,38,1,76,0,38,11,38,37,0,0
61,50,0,78,-6,50,0,29,29,0,0
62,46,0,100,0,44,-11,54,56,2,0
63,40,0,80,0,38,2,40,41,2,0
64,47,5,84,0,46,0,37,38,0,0
65,43,5,90,0,42,0,47,49,2,0
66,43,0,78,0,42,-1,35,37,2,0
67,45,0,81,0,46,5,36,35,0,0
68,37,0,77,7,16,7,40,61,22,0
69,45,0,86,7,44,0,42,42,0,0
70,41,-1,76,0,38,-14,35,37,2,0
71,45,1,76,-2,44,-4,31,32,0,0
72,41,0,84,2,38,-4,43,45,2,0
73,56,0,86,0,54,-30,30,32,2,0
74,37,0,77,-1,20,-4,40,56,16,0
75,44,0,82,-5,44,-1,38,38,0,0
76,39,-5,76,-1,-2,0,37,79,42,0
77,38,0,82,0,38,11,44,43,0,0
78,39,0,106,6,38,0,68,67,0,0
79,42,-3,86,0,42,0,45,45,0,0
80,44,-2,86,0,44,0,42,42,0,0
81,37,0,100,0,30,-11,64,69,6,0
82,48,-4,84,0,46,-1,36,38,2,0
83,57,0,88,0,56,0,31,31,0,0
84,47,0,88,-2,46,0,40,41,0,0
85,37,0,83,0,8,14,46,75,30,0
86,39,-1,78,-5,38,0,39,39,0,0
87,37,-1,79,-3,20,-7,42,58,16,0
88,37,0,104,0,18,21,67,86,18,0
89,44,0,85,0,44,16,41,41,0,0
90,38,-5,97,0,38,0,59,59,0,0
91,41,0,77,0,38,-1,37,39,2,0
92,45,0,88,0,44,-6,42,44,2,0
93,53,0,108,0,52,-7,55,56,2,0
94,51,4,79,0,52,14,27,27,0,0
95,39,0,76,-2,38,0,36,37,0,0
96,36,-5,81,0,36,0,45,45,0,0
97,56,1,86,0,54,-8,31,32,2,0
98,51,1,88,0,50,-7,36,39,2,0
99,58,2,86,0,56,0,28,29,2,0
100,46,1,86,0,44,-12,41,42,2,0
101,39,-1,79,-3,38,0,40,41,0,0
102,37,0,106,0,34,-1,69,72,4,0
103,44,-8,88,0,44,0,44,44,0,0
104,43,0,77,-2,42,0,34,35,2,0
105,40,4,90,0,38,0,49,51,2,0
106,37,0,83,0,8,19,47,75,28,0
107,45,0,81,0,46,19,36,35,0,0
108,59,0,87,0,60,18,28,28,0,0
109,37,0,82,0,26,-15,45,56,10,0
110,37,0,83,0,30,24,46,52,6,0
111,56,-5,107,0,56,3,51,50,0,0
112,37,0,80,4,28,0,43,52,8,0
113,49,3,88,0,50,0,39,39,0,0
114,36,3,75,0,36,0,39,39,0,0
115,42,5,102,0,42,0,60,60,0,0
116,42,0,86,-5,42,0,45,45,0,0
117,43,0,108,0,42,-2,64,66,2,0
118,55,-3,90,0,54,-12,34,35,2,0
119,44,0,75,-1,44,9,31,31,0,0
120,41,0,86,3,42,20,46,45,0,0
121,37,0,76,0,20,17,40,55,16,0
122,37,-54,106,-2,36,0,69,69,0,0
123,48,5,88,0,46,0,40,41,2,0
124,48,-3,80,0,46,-5,32,34,2,0
125,51,-4,84,0,50,-4,34,35,2,0
126,37,0,80,0,36,5,43,44,0,0
127,53,0,104,1,54,4,51,49,0,0
128,38,1,92,0,28,20,54,64,10,0
129,37,0,76,1,26,0,40,50,10,0
130,37,0,78,0,16,11,41,63,22,0
131,37,0,77,0,38,17,39,38,0,0
132,45,-1,77,-5,44,-8,32,33,0,0
133,41,0,106,0,38,0,65,67,2,0
134,37,0,76,4,28,-6,40,48,8,0
135,48,0,87,8,46,0,39,41,2,0
136,45,2,79,0,46,29,33,32,0,0
137,37,0,95,0,28,29,58,67,8,0
138,37,0,77,0,26,0,41,52,10,0
139,37,4,81,0,36,-2,43,44,2,0
140,37,0,77,0,24,-16,40,54,14,0
141,42,2,77,8,42,0,35,36,0,0
142,46,0,91,5,46,0,45,44,0,0
143,37,0,76,-5,36,-15,39,40,2,0
144,37,0,77,0,6,-10,40,72,32,0
145,46,0,83,-1,44,-25,37,39,2,0
146,43,0,81,-1,42,-13,37,39,2,0
147,37,0,78,0,2,-13,41,75,34,0
148,37,0,77,6,36,-7,39,41,2,0
149,37,0,108,2,36,0,70,71,2,0
150,43,-1,77,0,42,0,34,35,2,0
151,45,0,87,2,44,-19,42,43,2,0
152,51,-2,77,0,50,-13,26,28,2,0
153,44,0,81,0,44,21,38,37,0,0
154,37,0,105,-4,16,-21,68,89,22,0
155,44,0,81,0,42,-18,38,40,2,0
156,37,0,105,0,30,-8,68,74,6,0
157,37,0,76,144,20,0,40,55,16,0
158,39,-2,79,0,38,0,40,41,0,0
159,47,5,82,0,46,0,35,35,0,0
160,43,0,79,4,42,0,37,38,2,0
161,42,2,86,0,42,0,44,45,0,0
162,49,0,82,0,46,-8,33,35,2,0
163,41,0,76,-2,38,0,35,37,2,0
164,37,0,76,0,26,0,39,50,10,0
165,37,0,77,0,0,0,41,77,36,0
166,49,1,80,0,50,21,31,31,0,0
167,37,0,84,0,26,9,47,58,10,0
168,41,0,77,0,42,10,36,35,0,0
169,44,0,84,0,44,4,40,41,0,0
170,37,0,76,0,26,17,40,50,10,0
171,56,0,80,0,54,-9,24,26,2,0
172,56,1,86,0,56,8,30,29,0,0
173,37,0,79,0,8,-12,43,72,28,0
174,37,3,98,0,34,6,61,64,4,0
175,46,0,83,-6,46,0,37,37,0,0
176,37,0,80,0,8,23,43,72,28,0
177,37,0,104,0,16,-16,67,89,22,0
178,43,0,83,0,44,30,40,39,0,0
179,41,-2,86,0,42,11,46,45,0,0
180,53,2,79,0,54,28,26,24,0,0
181,44,1,93,0,44,3,50,50,0,0
182,37,-1,106,-15,28,0,69,78,8,0
183,42,2,76,0,42,0,34,35,2,0
184,39,0,85,2,38,0,46,46,0,0
185,44,4,76,0,42,-14,32,34,2,0
186,52,-3,86,0,52,0,34,34,0,0
187,45,0,81,0,46,27,36,35,0,0
188,43,0,86,-3,42,0,42,44,2,0
189,37,0,79,0,8,8,42,71,28,0
190,43,-1,77,0,42,-4,34,35,2,0
191,41,1,84,0,38,-22,43,45,2,0
192,53,-2,83,0,52,-19,30,32,2,0
193,52,5,79,0,52,0,26,27,0,0
194,55,0,88,-2,54,0,34,34,0,0
195,37,0,77,0,26,-27,40,51,10,0
196,43,0,85,5,44,14,42,41,0,0
197,41,0,83,0,38,-21,42,44,2,0
198,40,1,102,0,38,0,62,63,2,0
199,44,2,83,5,44,12,40,39,0,0
200,41,0,89,0,38,-23,48,50,2,0
201,45,0,86,1,44,-3,41,42,2,0
202,37,-4,77,0,36,0,40,41,0,0
203,51,0,81,0,52,4,29,29,0,0
204,43,0,81,-4,44,30,37,37,0,0
205,43,0,86,-2,42,0,43,45,2,0
206,45,-5,81,0,44,-3,36,37,2,0
207,42,0,86,6,42,0,43,44,2,0
208,55,1,79,0,54,0,23,24,2,0
209,53,0,79,0,52,-11,26,27,2,0
210,46,1,81,0,44,-23,35,37,2,0
211,37,0,74,0,34,10,37,41,4,0
212,44,3,76,-1,44,1,32,32,0,0
213,45,0,84,1,46,22,39,38,0,0
214,37,0,75,0,18,-18,38,57,18,0
215,68,0,111,-4,68,0,43,44,0,0
216,37,0,104,6,18,0,66,86,20,0
217,37,0,104,-14,28,0,67,75,8,0
218,43,0,87,0,42,-10,44,46,2,0
219,52,0,88,0,54,31,35,33,0,0
220,45,0,79,0,44,-14,34,35,2,0
221,49,-2,78,0,50,12,29,29,0,0
222,47,4,82,-1,46,0,34,35,0,0
223,37,0,106,0,34,-7,69,72,4,0
224,42,4,78,-3,42,0,36,37,2,0
225,56,3,79,0,56,3,23,23,0,0
226,50,-1,102,0,50,0,52,53,0,0
227,41,3,86,0,42,6,45,44,0,0
228,42,-1,87,-5,42,-7,45,46,0,0
229,46,0,83,0,44,-19,37,39,2,0
230,47,5,82,-2,46,0,34,35,0,0
231,41,0,76,-4,38,0,35,37,2,0
232,36,0,80,0,36,0,44,44,0,0
233,46,0,109,0,46,0,63,63,0,0
234,37,0,77,5,20,-2,40,56,16,0
235,37,-27,106,0,34,28,69,72,4,0
236,49,0,77,0,46,-21,28,30,2,0
237,50,3,85,0,50,0,36,36,0,0
238,45,0,109,0,44,0,64,66,2,0
239,46,0,81,-5,46,0,35,34,0,0
240,37,0,78,0,-4,18,41,83,42,0
241,51,0,85,0,50,-28,34,36,2,0
242,38,-5,100,0,38,0,62,62,0,0
243,49,-4,100,-2,50,2,52,51,0,0
244,39,2,77,0,38,0,37,38,0,0
245,44,0,97,1,42,-23,53,55,2,0
246,53,0,88,0,54,0,35,34,0,0
247,44,3,107,0,44,1,63,63,0,0
248,56,-1,90,-1,54,-30,34,35,2,0
249,49,0,79,0,50,30,30,30,0,0
250,38,0,90,0,38,3,52,51,0,0
251,45,0,81,-2,44,-3,36,37,0,0
252,37,5,75,0,18,0,38,57,18,0
253,44,-21,88,0,44,0,44,44,0,0
254,37,0,80,0,20,-3,43,59,16,0
255,37,0,90,9,6,0,53,85,32,0
256,51,5,77,0,50,0,27,28,2,0
257,57,2,90,0,56,0,33,33,0,0
258,37,0,75,0,24,30,38,52,14,0
259,46,0,79,1,46,12,33,32,0,0
260,53,0,86,0,52,-6,33,35,2,0
261,53,0,103,0,52,-17,50,51,2,0
262,50,-5,84,0,50,0,33,35,2,0
263,43,0,89,0,42,-2,46,48,2,0
264,48,0,81,0,50,30,33,32,0,0
265,45,0,82,6,44,0,37,38,0,0
266,37,0,83,0,28,12,46,54,8,0
267,50,-3,77,0,50,0,28,28,0,0
268,48,0,77,0,46,-7,28,30,2,0
269,51,0,91,0,52,0,40,39,0,0
270,49,0,77,0,50,26,28,28,0,0
271,44,0,75,-1,44,10,31,31,0,0
272,56,2,97,0,54,3,40,42,2,0
273,37,0,105,0,30,-1,68,74,6,0
274,37,-1,78,-2,16,0,41,63,22,0
275,37,0,78,6,36,23,41,42,0,0
276,46,4,77,0,44,-8,32,34,2,0
277,37,0,76,4,28,0,39,48,8,0
278,56,0,95,0,54,2,40,41,2,0
279,39,3,80,5,38,0,41,41,0,0
280,37,0,78,0,6,12,41,73,32,0
281,50,3,84,0,50,0,34,35,2,0
282,55,0,83,-1,54,0,28,29,2,0
283,52,2,77,0,52,0,25,25,0,0
284,49,0,81,0,50,-4,32,32,0,0
285,51,0,102,0,52,11,51,50,0,0
286,44,3,87,-4,44,2,43,43,0,0
287,44,4,77,0,44,0,33,33,0,0
288,50,-1,87,0,50,0,37,38,2,0
289,37,0,75,0,20,9,38,54,16,0
290,50,3,78,-3,50,0,28,29,2,0
291,47,0,85,2,46,0,38,39,0,0
292,39,-4,97,0,38,0,58,59,0,0
293,37,-2,77,8,-2,0,39,79,40,0
294,43,-1,79,0,44,17,35,35,0,0
295,52,-2,81,0,54,31,29,27,0,0
296,37,0,79,0,10,20,42,68,26,0
297,45,5,79,0,44,-4,33,35,2,0
298,46,0,82,0,44,-14,36,38,2,0
299,42,-1,86,0,42,0,45,45,0,0
300,37,0,82,1,18,-17,45,64,18,0
301,41,5,79,0,38,-5,38,40,2,0
302,45,4,82,1,44,0,37,38,0,0
303,37,0,79,0,8,15,42,71,28,0
304,55,4,91,0,54,0,35,37,2,0
305,46,0,88,1,46,3,42,41,0,0
306,49,-3,84,0,50,13,35,35,0,0
307,37,0,77,-7,34,0,40,43,2,0
308,37,0,107,0,30,13,70,76,6,0
309,37,0,97,0,20,-14,60,77,16,0
310,46,0,84,-3,46,0,38,37,0,0
311,44,0,77,0,42,-28,33,35,2,0
312,56,0,82,0,56,11,26,25,0,0
313,54,0,81,4,54,0,27,27,0,0
314,49,-5,83,0,50,0,33,33,0,0
315,37,0,76,-1,36,0,39,39,0,0
316,46,0,77,6,46,0,31,31,0,0
317,46,4,93,0,46,0,47,47,0,0
318,37,-4,77,0,36,-24,39,41,2,0
319,37,0,80,0,8,21,43,72,30,0
320,44,0,81,0,44,5,37,37,0,0
321,47,0,83,0,46,0,35,36,0,0
322,37,0,75,0,26,30,38,49,12,0
323,38,0,90,0,8,3,52,82,30,0
324,41,0,106,0,42,1,65,65,0,0
325,49,-1,84,0,50,4,36,35,0,0
326,37,1,82,-3,34,0,45,48,4,0
327,55,0,83,0,56,31,27,26,0,0
328,37,0,79,-3,20,-6,43,59,16,0
329,44,0,76,-2,44,7,32,32,0,0
330,37,-1,80,5,24,0,43,57,14,0
331,50,3,84,0,50,0,35,35,0,0
332,50,3,87,0,50,0,37,38,2,0
333,45,5,81,3,44,0,37,37,0,0
334,37,-2,107,0,36,-23,69,71,2,0
335,37,0,79,-6,2,0,43,77,34,0
336,49,1,77,0,50,18,28,28,0,0
337,36,0,80,-1,36,0,44,44,0,0
338,56,0,81,0,56,6,25,24,0,0
339,38,0,76,0,38,2,38,37,0,0
340,48,-1,86,0,46,0,38,39,2,0
341,51,4,86,0,52,16,35,34,0,0
342,38,1,96,0,38,6,58,57,0,0
343,41,0,87,8,42,30,46,46,0,0
344,37,0,79,0,36,-7,41,43,2,0
345,42,-1,86,-4,42,-6,44,45,2,0
346,52,4,88,0,52,-4,35,36,0,0
347,49,0,81,0,46,-9,33,35,2,0
348,46,1,77,0,44,-13,31,33,2,0
349,44,1,81,0,44,4,37,37,0,0
350,37,0,93,0,12,3,56,81,24,0
351,51,3,78,0,52,13,27,26,0,0
352,45,0,79,-1,44,-13,33,35,2,0
353,53,0,81,0,54,1,27,26,0,0
354,37,0,79,0,10,-23,42,68,26,0
355,55,-1,89,-4,54,0,34,35,0,0
356,44,0,80,4,44,3,36,36,0,0
357,38,5,79,0,36,0,41,43,2,0
358,44,1,78,0,42,-30,34,37,2,0
359,40,0,85,-1,38,0,45,46,2,0
360,45,-1,83,0,46,3,37,36,0,0
361,51,0,88,0,52,22,37,36,0,0
362,41,1,76,-1,38,0,35,37,2,0
363,37,0,78,0,16,4,42,63,22,0
364,44,0,77,2,42,-17,34,36,2,0
365,37,0,82,0,34,23,45,48,2,0
366,37,0,80,0,10,23,43,70,26,0
367,51,-4,83,0,50,-6,32,34,2,0
368,44,-1,81,1,44,6,37,37,0,0
369,45,-2,87,0,44,-3,42,43,2,0
370,41,-2,83,0,42,6,42,41,0,0
371,54,-2,86,0,54,0,33,32,0,0
372,37,0,77,0,36,5,39,41,2,0
373,51,0,81,0,52,27,30,29,0,0
374,37,-3,77,0,-2,0,40,79,40,0
375,37,0,76,0,34,-10,40,43,2,0
376,38,-3,78,0,38,0,40,39,0,0
377,37,0,78,0,24,-15,41,55,14,0
378,46,-1,77,0,46,11,32,31,0,0
379,38,0,102,0,36,-23,64,66,2,0
380,41,0,81,-3,42,0,40,40,0,0
381,37,0,79,0,18,-13,43,61,18,0
382,43,-1,81,3,42,-16,37,39,2,0
383,51,0,107,-2,50,0,56,58,2,0
384,37,0,84,0,30,19,47,53,6,0
385,49,0,77,-5,46,-30,28,31,2,0
386,50,0,78,-3,50,0,28,29,2,0
387,48,2,81,-1,46,0,33,34,2,0
388,37,0,79,0,8,27,43,72,28,0
389,43,0,87,0,44,21,44,43,0,0
390,46,0,76,0,44,-12,30,32,2,0
391,42,-15,76,0,42,0,34,35,2,0
392,37,0,76,0,20,26,40,55,16,0
393,51,0,86,0,52,14,35,35,0,0
394,37,0,79,0,6,5,42,74,32,0
395,42,2,77,3,42,0,35,36,2,0
396,37,0,78,0,10,7,41,68,26,0
397,46,2,81,1,46,14,35,35,0,0
398,50,0,79,7,50,0,28,30,2,0
399,37,-2,106,0,36,0,70,70,0,0
400,51,0,109,0,52,19,58,58,0,0
401,44,-1,82,0,44,11,38,38,0,0
402,63,0,112,5,62,0,49,50,0,0
403,41,0,79,-3,42,18,38,37,0,0
404,37,4,79,0,18,-6,41,61,20,0
405,43,0,87,8,42,-5,44,46,2,0
406,47,0,77,-4,46,0,29,30,0,0
407,37,5,75,0,34,5,37,41,4,0
408,55,0,84,5,54,0,29,30,0,0
409,43,0,79,0,44,26,35,35,0,0
410,45,1,88,0,44,201,42,44,2,0
411,53,0,91,0,54,15,38,37,0,0
412,41,0,86,-1,42,9,45,44,0,0
413,37,0,104,0,24,9,67,80,14,0
414,37,0,77,0,6,22,40,72,32,0
415,40,0,84,8,38,0,44,45,2,0
416,45,-3,86,0,44,0,42,42,0,0
417,37,0,97,-1,34,4,60,64,4,0
418,37,0,79,0,36,3,41,43,2,0
419,52,2,83,0,52,0,31,32,0,0
420,37,-26,106,0,30,0,69,75,6,0
421,43,0,81,-3,42,-15,37,39,2,0
422,41,-2,76,0,42,23,35,35,0,0
423,45,0,83,6,46,17,37,36,0,0
424,47,0,81,3,46,0,34,34,0,0
425,37,0,76,5,24,0,40,53,14,0
426,47,5,106,0,46,0,60,60,0,0
427,48,-1,88,0,46,-4,40,42,2,0
428,54,0,82,1,54,0,28,28,0,0
429,41,4,78,0,42,12,37,37,0,0
430,38,2,76,0,38,2,38,37,0,0
431,48,0,88,-3,46,-7,40,42,2,0
432,44,-1,80,0,44,0,36,36,0,0
433,50,5,77,0,50,0,27,28,0,0
434,38,-4,76,-2,38,0,37,37,0,0
435,46,0,76,0,46,0,29,29,0,0
436,47,-1,86,0,46,0,40,40,0,0
437,37,0,95,-5,28,0,58,67,8,0
438,37,0,80,0,10,28,43,70,26,0
439,49,1,77,0,46,-2,29,31,2,0
440,41,0,79,2,38,-4,39,41,2,0
441,37,0,78,0,10,-10,41,68,26,0
442,51,-5,81,0,52,0,29,29,0,0
443,41,0,81,-5,42,0,40,40,0,0
444,49,0,88,0,50,7,40,39,0,0
445,37,0,76,-2,34,0,40,43,2,0
446,43,0,86,-5,42,0,44,45,2,0
447,41,0,89,0,42,11,48,48,0,0
448,39,-9,78,0,-2,-28,39,81,42,0
449,55,0,83,6,54,0,28,29,0,0
450,39,2,86,0,38,0,47,48,0,0
451,53,0,86,0,52,-9,33,34,2,0
452,45,0,82,-3,44,0,37,38,0,0
453,37,0,77,7,24,0,40,54,14,0
454,37,0,106,1,20,-5,69,85,16,0
455,52,0,78,-2,52,-2,26,26,0,0
456,60,4,87,0,60,0,27,28,0,0
457,47,0,84,-1,46,0,38,38,0,0
458,43,0,77,0,44,25,34,34,0,0
459,41,0,85,0,38,-11,44,46,2,0
460,43,-5,86,0,42,-12,43,45,2,0
461,37,0,79,0,8,11,42,71,30,0
462,37,0,100,0,36,-10,63,64,2,0
463,45,0,85,1,46,23,40,39,0,0
464,46,5,79,0,46,20,33,32,0,0
465,44,0,86,0,44,27,42,42,0,0
466,44,0,81,7,42,-12,38,40,2,0
